id,name,atk,mag,def,spd,armor,focusPool,maxHP,abilities,description
towers,Deck of Towers: Generic Abilities,d4,d4,0,0,0,0,0,"towers-generic-shove,towers-generic-toughness,towers-generic-shield-stance,towers-generic-grapple,towers-generic-stampede,towers-generic-toughness-2,towers-generic-armor,towers-generic-ironskin","When gaining a level in a Deck of Towers class, you can choose one of these abilities instead of a Class Ability as long as you meet the Rank requirements. It counts as an ability for the class you gained a level in."
paladin,Paladin,d6,d6,10,3,2,7,10,"paladin-stance,paladin-raise-shield,paladin-block,paladin-entrenched,paladin-shove,paladin-ultimate,paladin-devotion-aura,paladin-defensive-reflexes,paladin-pavise,paladin-shield-slam,paladin-opportunity,paladin-shield-charge,paladin-shield-mastery,paladin-radiance,paladin-radiance-special,paladin-fortify,paladin-formation-fighting,paladin-indefatigable,paladin-aegis,paladin-smite,paladin-rampart,paladin-blessed-armor,paladin-heroic-unstoppable,paladin-heroic-oath-magic,paladin-heroic-pavise-mastery,paladin-heroic-oathsworn-shield,paladin-heroic-dip","You should take levels in this class if: you enjoy a defensive playstyle that resists damage, your character relies on a shield in combat, or your character plays the role of a holy warrior, commander, or protective bastion for their allies in battle."
warrior,Warrior,d8,d4,10,4,1,6,10,"warrior-stance-gladiator,warrior-stance-ranged,warrior-stance-shield,warrior-rearm,warrior-ultimate,warrior-second-wind,warrior-focus-attack,warrior-mighty-attack,warrior-shield-stagger,warrior-opportunity,warrior-bash,warrior-duelist-parry,warrior-battle-charge,warrior-battle-high,warrior-sunder,warrior-shockwave,warrior-indomitable,warrior-flagbearer,warrior-onslaught,warrior-demolish,warrior-demolish-special,warrior-heroic-maneuver,warrior-heroic-leap,warrior-heroic-armsmaster,warrior-heroic-combat-reflexes,warrior-heroic-dip","You should take levels in this class if: you enjoy using a wide variety of physical attacks and maneuvers, your character is a master of weapons, or your character is a soldier or brawler that knows their way around a fight."
avenger,Avenger,d8,d4,11,3,1,8,11,"avenger-shadowbringer,avenger-taunt,avenger-grit,avenger-ultimate,avenger-bloodletting,avenger-mocking-blow,avenger-the-greatest-teacher,avenger-crisis-core,avenger-fight-or-flight,avenger-heavy-stance,avenger-heavy-stance-special,avenger-revenge,avenger-hatred,avenger-menace,avenger-eye-for-an-eye,avenger-scraps-of-life,avenger-intimidation-tactics,avenger-reflection,avenger-enchainment,avenger-frightening-aspersion,avenger-heroic-shadowbringer,avenger-heroic-spite,avenger-heroic-hatred,avenger-heroic-crisis-infinity,avenger-heroic-dip","You should take levels in this class if: you enjoy living on the edge and using self-sacrifice to protect or destroy others, your character has a dark side or wants revenge, or your character is willing to do the things that others are afraid to."
blades,Deck of Blades: Generic Abilities,d4,d4,0,0,0,0,0,"blades-generic-deadly,blades-generic-flanking,blades-generic-assault,blades-generic-battlestance,blades-generic-staggeringblow,blades-generic-foolsgambit,blades-generic-sneak,blades-generic-fleetfoot","When gaining a level in a Deck of Blades class, you can choose one of these abilities instead of a Class Ability as long as you meet the Rank requirements. It counts as an ability for the class you gained a level in."
blademaster,Blademaster,d8,d4,10,4,0,7,10,"blademaster-truecharge,blademaster-drawstrike,blademaster-phasing,blademaster-final-judgment,blademaster-wind-dance,blademaster-whirlwind-strike,blademaster-hidden-step,blademaster-true-strike,blademaster-heavy-stance,blademaster-heavy-stance-special,blademaster-parry,blademaster-savage-blade,blademaster-flickerstep,blademaster-versatile-stance,blademaster-huntermark,blademaster-huntermark-special,blademaster-kipup,blademaster-divinedeflection,blademaster-sweepingstrikes,blademaster-omnislash,blademaster-swallow-cutter,blademaster-heroic-sword-summoner,blademaster-heroic-storm-approachin,blademaster-heroic-judgment-cut,blademaster-heroic-endless-motivation,blademaster-heroic-profuse-bleeding","You should take levels in this class if: you enjoy dealing damage in melee with versatility, your character fights with a single weapon or wields a renowned blade, or your character is a ronin or career warrior that makes an art of combat."
scoundrel,Scoundrel,d6,d4,11,4,0,8,8,"scoundrel-trick-stance,scoundrel-skirmisher,scoundrel-sneak,scoundrel-sneak-special,scoundrel-ultimate,scoundrel-lightfoot,scoundrel-rip,scoundrel-cheapshot,scoundrel-coldblood,scoundrel-dual-stance,scoundrel-dual-stance-special,scoundrel-impaler,scoundrel-opportunity,scoundrel-violent-delights,scoundrel-knife-juggler,scoundrel-knife-juggler-special,scoundrel-preparation,scoundrel-called-shot,scoundrel-bagoftricks,scoundrel-bagoftricks-special,scoundrel-skillsteal,scoundrel-exsanguinate,scoundrel-ruinousblade,scoundrel-heroic-daredevil,scoundrel-heroic-daredevil-special,scoundrel-heroic-invisible-blade,scoundrel-heroic-elegant-finisher,scoundrel-heroic-elusive,scoundrel-heroic-dip","You should take levels in this class if: you enjoy ability combos and assassinating targets at the right moment, your character is a knave or rogue, or your character is stealthy and makes use of invisibility or assassination along with weapons."
marksman,Marksman,d6,d6,9,4,0,6,8,"marksman-ranged-stance,marksman-reactive-shot,marksman-reactive-shot-special,marksman-snare-trap,marksman-ultimate,marksman-admixture,marksman-smoke-trap,marksman-steady-aim,marksman-first-aid,marksman-opportunity,marksman-full-draw,marksman-exploding-trap,marksman-volley,marksman-splintering-arrow,marksman-lock-on,marksman-zen-archer,marksman-blinding-trap,marksman-point-blank-stance,marksman-rupturing-shot,marksman-rupturing-shot-special,marksman-luciform-eye,marksman-heroic-demolitionist,marksman-heroic-snipe,marskman-heroic-trueshot,marksman-heroic-arcane,marksman-heroic-animal-companion","You should take levels in this class if: you enjoy dealing damage from afar and setting traps or area denial, your character fights with a bow or gun, or your character is a ranger or sniper that uses the environment and small details to their advantage."
arcanimist,Arcanimist,d4,d8,9,3,0,11,8,"arcanimist-arcane-glyph,arcanimist-arcane-warp,arcanimist-blast,arcanimist-ultimate,arcanimist-reliable-blast,arcanimist-focused-blast,arcanimist-concentrated-power,arcanimist-spellburst,arcanimist-scorching-ray,arcanimist-overload,arcanimist-exploding-spells,arcanimist-concussive-blast,arcanimist-destroyer-stance,arcanimist-incandescent-ray,arcanimist-perfected-fuels,arcanimist-uncontrollable-power,arcanimist-destruction,arcanimist-eye-of-oblivion,arcanimist-paradox,arcanimist-paradox-special,arcanimist-heroic-apocalypse,arcanimist-heroic-meteor,arcanimist-heroic-manaward,arcanimist-heroic-enochian,arcanimist-heroic-dip,arcanimist-blast-2","You should take levels in this class if: from the deepest pit of the seven hells to the very pinnacle of the heavens, the world will tremble!"
tactician,Tactician,d6,d6,10,4,1,8,10,"tactician-sign,tactician-combined-offensive,tactician-stance,tactician-ultimate,tactician-heroic-counterspell,tactician-heroic-magicshield,tactician-heroic-magicshield-special,tactician-heroic-warcaster,tactician-heroic-contingency,tactician-heroic-contingency-special,tactician-heroic-simulation,tactician-disciplined-tactician,tactician-rune-edge,tactician-spell-pierce,tactician-embolden,tactician-heavy-arcane-blast,tactician-shock,tactician-imperial-eye,tactician-absorb,tactician-celerity,tactician-divine-eye,tactician-mind-palace,tactician-freedom,tactician-nova,tactician-might-and-magic,tactician-visual-calculus","You should take levels in this class if: you want a supportive playstyle that combines magic and melee, your character is a noble sort, scholarly, or researches enemy weaknesses, or your character brings a book into battle."
magi,Deck of Magi: Generic Abilities,d4,d4,0,0,0,0,0,"magi-generic-calamity,magi-generic-bolt,magi-generic-concussive-rune,magi-generic-evoker-stance,magi-generic-addle,magi-generic-blink,magi-generic-supreme-calamity,magi-generic-signature-spell","When gaining a level in a Deck of Magi class, you can choose one of these abilities instead of a Class Ability as long as you meet the Rank requirements. It counts as an ability for the class you gained a level in."
glyphs,Deck of Glyphs: Generic Abilities,d4,d4,0,0,0,0,0,"glyphs-generic-focus,glyphs-generic-healer,glyphs-generic-mending,glyphs-generic-reposition,glyphs-generic-cleric-stance,glyphs-generic-healer-2,glyphs-generic-focus-2,glyphs-generic-condemnation","When gaining a level in a Deck of Glyphs class, you can choose one of these abilities instead of a Class Ability as long as you meet the Rank requirements. It counts as an ability for the class you gained a level in."
occultist,Occultist,d4,d4,10,4,0,10,8,"occultist-dimensional-bolt,occultist-the-art,occultist-reposition-summon,occultist-ultimate,occultist-death-erasure,occultist-heroic-master-summoner,occultist-heroic-the-abyss,occultist-heroic-the-ritual,occultist-heroic-the-ritual-special,occultist-heroic-the-hourglass,occultist-heroic-dilettante,occultist-conjure-blockade,occultist-conjure-legion,occultist-the-talisman,occultist-summon-opportunity,occultist-fortified-conjurations,occultist-conjure-dantalion,occultist-the-tome,occultist-conjure-paimon,occultist-the-cure,occultist-the-concept,occultist-the-boundary,occultist-the-curse,occultist-the-pattern,occultist-the-answer,occultist-the-hunger,occultist-the-plague,occultist-the-nightmare,occultist-nightmare-pummel,occultist-nightmare-the-end,occultist-heroic-the-ritual-special","You should take levels in this class if: you like controlling the battlefield with one or more summoned creatures, or if your character creates or conjures aid to support themselves and others in combat."
mender,Mender,d4,d8,10,3,0,10,7,"mender-life-essence,mender-presence-of-mind,mender-supreme-resolve,mender-ultimate,mender-heroic-resurrection,mender-heroic-supreme-abeyance,mender-heroic-divine-intervention,mender-heroic-surecast,mender-heroic-admonishment,mender-purifying-focus,mender-alleviating-aid,mender-bane,mender-abeyance,mender-tranquilize,mender-soothe,mender-succor,mender-rebuke,mender-greater-cure,mender-greater-restoration,mender-panacea,mender-harmonize,mender-lucid-dreaming,mender-benediction,mender-condemn","You should take levels in this class if: you want to heal allies directly with powerful, singular spells, you want to support while planning your actions in advance, or your character is inspired by the clerics and healing magi of fantasy fare."
seer,Seer,d4,d4,11,3,0,10,8,"seer-certain-doom,seer-oracles-path,seer-skirmisher,seer-ultimate,seer-adjudicate,seer-heroic-time-manipulation,seer-heroic-haruspex,seer-heroic-haruspex-special,seer-heroic-limitless-willpower,seer-heroic-foresight,seer-heroic-true-sight,seer-reliable-attacks,seer-guidance,seer-read-intent,seer-disorient,seer-manipulate-fate,seer-prepared-heal,seer-revelation,seer-future-sight,seer-misleading-vision,seer-assurance,seer-conceal-reality,seer-entelechy,seer-telepathic-bond,seer-grasp-the-future,seer-rewind",You should take levels in this class if: you knew I was going to say this!
transmuter,Transmuter,d4,d6,10,3,0,10,10,"transmuter-elemental-shift,transmuter-terrain-transmutation,transmuter-stable,transmuter-ultimate,transmuter-heroic-cloudkill,transmuter-heroic-adept-of-motion,transmuter-heroic-adept-of-motion-special,transmuter-heroic-spikes,transmuter-heroic-master-controller,transmuter-heroic-master-of-boundaries,transmuter-heroic-master-of-boundaries-special,transmuter-mold-earth,transmuter-explosive-runes,transmuter-outmaneuver,transmuter-elemental-seal,transmuter-elemental-sparks,transmuter-levitate,transmuter-kinesis,transmuter-phantom-tether,transmuter-create-wall,transmuter-gravity-well,transmuter-sacred-geometry,transmuter-rolling-amber,transmuter-erupting-earth,transmuter-stalagmite,transmuter-reflecting-pool,transmuter-crystal-of-light,transmuter-refraction","You should take levels in this class if: you enjoy controlling the battlefield and changing or making use of terrain, or if your character is capable of manipulating the elements and the natural environment with science or magic."
heroic,Heroic Abilities: All Classes,d4,d4,0,0,0,0,0,"heroic-generic-precision,heroic-generic-signature-move,heroic-generic-skirmisher,heroic-generic-prototrophize,heroic-generic-diehard,heroic-generic-supreme-resolve,heroic-generic-ranger,heroic-generic-swiftcast","Whenever a Heroic Talent becomes available, you may choose one from the following list instead. "
masquerade,Masquerade,d6,d6,10,4,0,9,8,"masquerade-stance,masquerade-stance-special,masquerade-en-avant,masquerade-ultimate,masquerade-heroic-pawn,masquerade-heroic-fortune,masquerade-heroic-afteryou,masquerade-heroic-misdirection,masquerade-heroic-techstep,masquerade-feint,masquerade-dash,masquerade-inspiringstrike,masquerade-performance,masquerade-cascade,masquerade-flair,masquerade-silhouette,masquerade-closedposition,masquerade-bravura,masquerade-flyby,masquerade-syncopate,masquerade-petaldance,masquerade-improvisation,masquerade-restage,masquerade-virtuoso,masquerade-improvisation-special-1,masquerade-improvisation-special-2,masquerade-improvisation-special-3,masquerade-improvisation-special-4","You should take levels in this class if: your character is an agile battledancer, performing artist, or braggart; or you prefer to inflict disruptive statuses, synergize with allies, and evade attacks rather than generate pure damage."
lightbearer,Lightbearer,d6,d4,11,4,1,8,8,"lightbearer-motes,lightbearer-searing-ray,lightbearer-radiant-touch,lightbearer-ultimate,lightbearer-ultimate-special,lightbearer-heroic-celestialblast,lightbearer-heroic-higher,lightbearer-heroic-fountain,lightbearer-heroic-icariantrip,lightbearer-heroic-featherblade,lightbearer-sanctuary,lightbearer-lightbound,lightbearer-flash,lightbearer-guiding-bolt,lightbearer-curewounds,lightbearer-retribution,lightbearer-lightbomb,lightbearer-sunlightstrike,lightbearer-tactical-emergency,lightbearer-lightoflife,lightbearer-soltenebris,lightbearer-sunlightblade,lightbearer-fountain,lightbearer-fountain-special,lightbearer-wingsofhope,lightbearer-wingsofhope-special,lightbearer-scour","You should take levels in this class if: you want to support allies with direct healing without losing tempo in battle, you aren't afraid to get close to the enemy, or your character is a battle cleric, wields light, or is inspired by angels or Valkyrie."
